Barcode,Description,Stock No,Cost,QTY
00056,"WHL CYL PUMP SZ SJ410 RR LH",00056,16,0
00057,"C V BOOT OUT 77M",00057,0,0
EFP-500101G,"FUEL PUMP HD SM4",EFP-500101G,65,0
00059,"FUEL PUMP SB LEONE",00059,0,0
00060,"LWR ARM BUSH NS T11",00060,12,0
00061,"WHL CYL PUMP MIT PJR 92-RR LH",00061,15,0
00062,"LWR ARM BUSH NS U12 U11",00062,10.5,0
00063,"WHL CYL PUMP MIT E32/33 RR",00063,12,0
00064,"WHL CYL PUMP HY ACCENT 01- RR RH",00064,12,0
00065,"OIL FILTER",00065,4.8,0
00066,"WHL CYL PUMP HY ACCENT 01-RR LH",00066,12,0
00067,"OIL FILTER MZ",00067,4.6,0
00068,"OIL FILTER MZ",00068,2.8,0
00069,"OIL FILTER",00069,0,0
00070,"WHL CYL PUMP MIT A212A RR",00070,10,0
00071,"WHL CYL PUMP MIT A121A RR LH",00071,10,0
00072,"ENG MTG NS U14 P11 W/BRACKET",00072,61.22,0
00073,"WHL CYL PUMP HD CIVIC 79-RR LH",00073,7,0
00074,"STRG GROMMET RH TY KE70",00074,2.3,0
00075,"FULL SET GSKT NS CA18S",00075,41.2,0
00076,"STRG GROMMET NS Y32",00076,14.8,0
00078,"LWR ARM BUSH MIT CB1 P/WIRA SMALL",00078,5.5,0
00079,"EXHAUST VALVE TY 2A",00079,5.6,0
00080,"ABSORBER FRT TY EP70",00080,145,0
00081,"PISTON RING MZ F8 86MM",00081,45.25,0
00082,"B CALIPER KIT NS S13 A31 35MM",00082,48,0
00083,"HEAD GASKET MIT 4D56 METAL",00083,26,0
00084,"ALT CARBON BRUSH",00084,0.7,0
00085,"LWR ARM BUSH RR NS",00085,0,0
00086,"WATER PLUG / STOPPER",00086,2,0
00087,"B M PUMP KIT SZ SA413",00087,0,0
00088,"LWR ARM BUSH MIT MAGNA 94-W BRACKET",00088,48.88,0
00089,"STRG BOOT TY KE70 33M",00089,10.7,0
00090,"STRG RACK BUSH TY ST190",00090,2,0
00091,"AGIP ATF 2D 1LTR",00091,5.82,0
00092,"BRAKE PAD FRT MZ 3 04-",00092,50,0
00093,"LWR ARM BUSH MZ MR90",00093,3.2,0
00094,"CLUTCH LINING 250X160X24T ISZ UBS",00094,40,0
00095,"ACC CABLE TY AE80",00095,12,0
00096,"FUEL PUMP MZ 929",00096,27,0
00097,"AC PUMP TY 21R",00097,31,0
00098,"CLUTCH LINING 219X155X24TX26MM HD B16A",00098,66,0
00099,"STAB BUSH FRT NS U12 24MM",00099,3.2,0
00100,"BRAKE PAD RR F MONDEO 01-",00100,28.5,0
00101,"BRAKE CONTROL VALVE",00101,60,0
00102,"STAB BUSH FRT TY SOLUNA AL50",00102,1.1,0
00103,"O RING (RED BOX) UNIVERSAL",00103,0,0
00104,"BRAKE CONTROL VALVE SZ SWIFT",00104,55.84,0
00105,"BRAKE PAD FRT MZ 323",00105,0,0
00106,"LWR ARM BUSH MZ 323 96-W BRACKET",00106,12,0
00108,"ALTERNATOR CARBON BRUSH UNIVERSAL",00108,0.7,0
00109,"C V JOINT OUT 25X50X25 HY SONATA 00- ATM",00109,60,0
00110,"BY PASS PIPE TY AE100 3PIPE",00110,27,0
00111,"LWR ARM BUSH RR HD SH4 S04 BIG",00111,11,0
00112,"BY PASS HOSE HD ACC 89- 16MM",00112,6,0
00113,"STAB BUSH FRT MIT GALANT 16V L300 20MM",00113,0.8,0
00114,"STARTER CARBON BRUSH F70 (DL)",00114,7,0
00115,"C V JOINT OUT 23X48X19 NS MARCH K11",00115,24,0
00120,"ENG MTG MZ 323 99-",00120,16,0
00121,"BRAKE PAD FRT SB",00121,23,0
00122,"ABSORBER FRT KIA CAREN 00- DSL",00122,60,0
00123,"BRAKE PAD RR SB LEGACY",00123,24,0
00124,"ABSORBER FRT KIA CAREN 00- DSL",00124,60,0
00125,"WHL CYL PUMP MIT C11A RR 3/4\",WCYL PUMP"",00125,8.1,0
00126,"BRAKE SHOE RR TY ST196",00126,16,0
00127,"HBRAKE SHOE RR DHS ROCKY",00127,19.5,0
00128,"BRAKE SHOE RR MZ PREMACY",00128,18,0
00129,"WHL CYL PUMP DHS EXTOL RR",00129,10.8,0
00130,"BRAKE SHOE RR HY ACCENT",00130,13.8,0
00131,"THERMOSTAT DW RACER GTI NEXIA KALOS",00131,6,0
00132,"THERMOSTAT KIA PREGIO",00132,12.1,0
00133,"BRAKE SHOE RR DHS MIRA KANCIL",00133,10.8,0
00134,"UP ARM BUSH TY MS12# 18MM",00134,3.5,1
00135,"BRAKE SHOE RR TY AE/EE80",00135,10,0
00136,"BRAKE SHOE RR TY LN40/65 RN30",00136,24.2,0
00137,"BRAKE PAD RR MIT E33 SIGMA",00137,12.4,0
00138,"WHL CYL PUMP HY ELANTRA ACCENT ATOZ 92- RR RH",00138,9.5,17
00139,"DISTRIBUTOR CAP TY 7K",00139,28.8,0
00140,"ABSORBER FRT MIT N84",00140,43.5,0
00141,"ABSORBER FRT-LH MIT SPACEWAGON N84


 MIT N84",00141,54.4,0
00143,"ABSORBER RR MIT COLT 2004",00143,52.8,0
00144,"UPPER ARM RH NS URVAN E25",00144,150,0
00145,"UPPER ARM  LH NS URVAN E25",00145,150,0
00146,"CONTACT POINT TY 5K",00146,2.9587,0
00147,"V C GASKET TY 1/2NZFE",00147,8.0666,2
00148,"DRIVESHAFT OIL SEAL 35*76*9*12.5 HD ACCORD CA5",00148,0,0
00150,"BELTING 5PK 1190",00150,0,0
00151,"BELTING 4PK 875",00151,0,0
00152,"CLUTCH LINING 184X125X20TX22.4 MIT CB2 MZ323 MR90",00152,0,0
00153,"V C GASKET TY 1SZ K3VE",00153,8.2,1
00154,"VALVE COVER GASKET HY ELANTRA",00154,5.4333,3
00155,"FUEL FILTER HY COUPE '05",00155,49.07,0
00156,"TENSIONER BELT HD ODYSSEY",00156,131.3,0
00157,"CLUTCH LINING 212*140*21*29.8 TY 7K",00157,40.8,0
00158,"CLUTCH BRG TY KF50/52",00158,21.5,0
00159,"WHEEL BRG ISUZU BIGHORN 45*75*21",00159,17.5,0
00160,"CRANKSHAFT RR OIL SEAL 85X103X8",00160,5,1
FT-305,"ALTERNATOR CARBON BRUSH",FT-305,0.8871,12
00162,"BELTING 4PK 1420",00162,10.7,1
00163,"CLUTCH LINING 190X136X18T NS B13/14",00163,16.5,1
00164,"HORN 12V SINGLE",00164,12.3,1
00165,"BRG 12*32*10",00165,2.6,7
00166,"DIST ROTOR TY AE101",00166,14,0
TYC-565,"DAIKIN - CLUTCH COVER",TYC-565,0,0
00168,"BELTING 4PK 845",00168,0,0
00169,"CRANK SENSOR MIT GRANDIS",00169,82.5,0
00170,"CLUTCH COVER 250X160X286 FORD RANGER WL",00170,131.3,1
00172,"ABSORBER BUSH HD ACC 89-00",00172,0,0
00173,"BY PASS HOSE HD ACC 89-",00173,6.3,0
00175,"ABSORBER BUSH (18MM)",00175,0,0
00176,"LWR ARM BUSH TY SOLUNA 16MM",00176,0,0
00177,"TIMING BELT 122RU20 MIT GRANDIS",00177,17.5,0
A-1034,"SAKURA AIR FILTER - MIT (MD620563),PAJERO,4D56,V44",A-1034,7.5,4
00179,"AIR FILTER MIT V34/44",00179,7.5,4
00180,"BATTERY W/MAINTENANCE",00180,82,0
00181,"OIL SEAL 25.5*37.5*6  TY YARIS,VIOS,2NZ-FE",00181,2.62,5
00182,"CON ROD BRG TY 2/3E STD",00182,18.2,1
00183,"FRT CRANKSHAFT OIL SEAL 38.5*58*8.5 TY 4K,5K",00183,2.5,4
00186,"FRT WHL HUB BRG  NS E25",00186,30.6,0
00187,"ABSORBER TY EP81, SOLUNA AL50 FRT-LH",00187,60,1
00188,"ABSORBER TY EP81,SOLUNA FRT-RH",00188,60,1
00189,"PLUG CABLE TY 4AF",00189,33,2
00190,"STARTER TY CAMRY",00190,180,0
00191,"BELTING 8385",00191,0,0
00192,"BELTING 8450",00192,7.1,1
MPMF-8450,"V BELT MPMF-8450",MPMF-8450,7.1,1
00194,"BELTING 8445",00194,6.8,2
00195,"BELTING 8430",00195,5.3,1
00196,"BELTING 8425",00196,6.6,2
MPMF-8440,"V BELT MPMF-8440",MPMF-8440,5.49,2
00198,"BELTING 8440",00198,5.49,2
MPMF-8420,"V BELT MPMF-8420",MPMF-8420,6.6,4
00200,"BELTING 8415",00200,4.5,7
MPMF-8410,"V BELT MPMF-8410",MPMF-8410,6.4,10
MPMF-8400,"V BELT MPMF-8400",MPMF-8400,6.2,8
00203,"BELTING 6535",00203,4.07,5
00204,"BELTING 6520",00204,3.95,2
00205,"BELTING 1440",00205,2.62,4
00206,"BELTING 1405",00206,5,7
MPMF-1395,"V BELT MPMF-1395",MPMF-1395,3.34,4
00208,"BRAKE PAD KIA OPTIMA 11-KIA RIO 2010,ACCENT NEW,ELANTRA '2012",00208,31.3,0
00209,"PLUG CABLE TY 4AFE",00209,33,2
MPMF-1350,"V BELT MPMF-1350",MPMF-1350,2.6,0
MPMF-1335,"V BELT MPMF-1335",MPMF-1335,1.99,9
MPMF-1330,"V BELT MPMF-1330",MPMF-1330,1.96,15
MPMF-1325,"V BELT MPMF-1325",MPMF-1325,1.94,1
MPMF-1320,"V BELT MPMF-1320",MPMF-1320,2.5,8
MPMF-1315,"V BELT MPMF-1315",MPMF-1315,2.1,17
MPMF-6480,"V BELT MPM-6480",MPMF-6480,4.6,3
MPMF-6490,"V BELT MPMF-6490",MPMF-6490,3.72,1
MPMF-6450,"V BELT MPMF-6450",MPMF-6450,0,0
MPMF-6385,"V BELT MPMF-6385",MPMF-6385,0,0
MPMF-6365,"V BELT MPMF-6365",MPMF-6365,3.5,3
MPMF-6355,"V BELT MPMF-6355",MPMF-6355,2.7,0
MPMF-6350,"V BELT MPMF-6350",MPMF-6350,0,0
MPMF-6335,"V BELT MPMF-6335",MPMF-6335,3.2,3
MPMF-6320,"V BELT MPMF-6320",MPMF-6320,3,1
MPMF-6315,"V BELT MPMF-6315",MPMF-6315,0,0
MPMF-6310,"V BELT MPMF-6310",MPMF-6310,3,3
MPMF-6300,"V BELT MPMF-6300",MPMF-6300,2.9,0
MPMF-6250,"V BELT MPMF-6250",MPMF-6250,1.99,9
00229,"BELTING 6250",00229,1.99,9
MPMF-6230,"V BELT MPMF-6230",MPMF-6230,1.74,1
00231,"BELTING NS",00231,0,0
00232,"BELTING NS",00232,15,4
00233,"BELTING 9330",00233,3.5,1
00234,"BELTING 9279",00234,3.5,1
00235,"BELTING 8435",00235,5.4,9
00236,"CRANK SENSOR NS N16, B15",00236,65,0
00237,"VALVE COVER GASKET HD PRELUDE",00237,4.5,0
00238,"HAND PUMP MIT PJR 4D56",00238,0,0
C-1504,"SAKURA OIL FILTER - M/Z (8259-23-802), E2200",C-1504,5.4,5
00240,"CLUTCH PUMP",00240,11.3,0
MZ-036,"CV.JOINT 26*28*56 MZ 323",MZ-036,26,2
MZ-025,"C V JOINT OUT 26X56X22 MZ 323 96- KIA SEPHIA",MZ-025,26,2
00243,"TENSIONER BRG TY 4AFE,AE101",00243,14.08,0
00244,"TENSIONER BRG MIT CB2 12V 4G15",00244,10,0
00245,"IDLER BRG (S) MIT 4D56",00245,15.84,1
00246,"TENSIONER BRG (B) MIT 4D56",00246,22.44,1
00247,"STAB LINK MZ 2 '03-(FRT) (31CM(Z))",00247,15.07,6
00248,"RACK END SZ IGNIS 00-03' FRT LH/RH 25MM",00248,11,1
00249,"WHL CYL PUMP TY AE EE EP AT RR RH",00249,8,0
00250,"WHL CYL PUMP DHS F70,F300  RR RH 1\",WCYL PUMP"",00250,0,0
00251,"WHL CYL PUMP DHS F70,F300 RR LH 1\",WCYL PUMP"",00251,13.5,0
00252,"CLUTCH PUMP",00252,0,0
00253,",CLUTCH PUMP"",00253,0,0
00254,"COC PUMP TY 2E,EE90,EE80",00254,0,0
00255,"C M PUMP TY KF50 5/8",00255,21.3,0
00256,"CLUTCH BRG TY 2L, 3L,TY LJ79 35MM",00256,20.6667,0
00257,"CLUTCH BRG TY K3VE TERIOS FEROZA SIRION 28MM",00257,17.4,0
00259,"BRG 15X35X11",00259,3,0
MZ-854,"C V JOINT OUT 26X56X21 MZ 323 90-",MZ-854,27.5,4
00262,"BRAKE PAD RR HY SONATA,SANTAFE,TRAJET",00262,8.5333,5
00264,"FUEL PUMP SZ SWIFT AB44",00264,36,1
00265,"FUEL PUMP UNI SMALL PIN",00265,32,0
00266,"FUEL FILTER  HY SANTAFE KIA SORENTO",00266,0,0
00267,"BRAKE PAD FRT TY INNOVA 03-",00267,13.975,4
DAF5073M,"FBK - D5073/PF-8265/PF-8510, HD CIVIC 92-95 JAZZ 01-",DAF5073M,13,0
AF-1202M/GS,"ASUKI - BRAKE PAD N/S SUNNY B14 94'(FRT)",AF-1202M/GS,10.5,0
WKT1100,"BRAKE PAD FRT NS B15",WKT1100,10.5,4
00271,"BRAKE PAD FRT TY AVANZA SZ APV '06 NEW",00271,11,1
00272,"BRAKE PAD FRT TY AT ST191,RAV4",00272,13,0
00274,"BRAKE PAD FRT HY TUCSON SPTGE 05-",00274,0,0
00275,"BRAKE PAD FRT TY CV30",00275,14.9,0
00276,"BRAKE M PUMP TY AE EE90",00276,40.5,0
00277,"BRAKE M PUMP TY AE101 EE100 3SCREW",00277,0,0
00278,"BRAKE M PUMP TY KF80 LF80 4 SCREW",00278,68.8,0
00279,"BATTERY CONDEM NX120-7",00279,0,0
00280,"BATTERY CONDEM NS60MF-B",00280,0,0
00281,"BATTERY CONDEM N40L",00281,0,0
00282,"BATTERY CONDEM NX120-7L",00282,0,0
00283,"BATTERY CONDEM NX120-7LMF",00283,0,0
00284,"BATTERY CONDEM NX120-7MF",00284,0,0
00285,"BATTERY CONDEM DIN55LMF",00285,0,0
00286,"BATTERY CONDEM NS70L",00286,0,0
00287,"BATTERY CONDEM NS70",00287,0,0
00288,"BATTERY CONDEM NS70LMF",00288,0,0
00289,"BATTERY CONDEM NS70MF",00289,0,0
00290,"BATTERY CONDEM NS60AL(S)",00290,0,0
00291,"BATTERUYCONDEM NS60MF-S",00291,0,0
00292,"BATTERY CONDEM NS60LMF-B",00292,0,0
00293,"CRANKSHAFT FRT OIL SEAL 40*52*7 NS ALL",00293,3.4083,4
00294,"STAB BUSH FRT NS N16",00294,1.5,2
00295,"CV.BOOT INNER TY AE101",00295,6.9,0
00297,"CLUTCH LINING TY 2L,3S",00297,45,0
00298,"FRT WHL BRG  (38X74X33X36) TY AE80 B13",00298,0,0
00299,"TIE ROD END TY EHCO 00-",00299,23,0
00300,"TIMING BELT TENSIONER MIT EA2A, 4G63 GALANT",00300,0,0
MPMF-6345,"V BELT MPMF-6345",MPMF-6345,3.3,5
00303,"CLUTCH LINING 200X130X20TX22.4 MIT CK4 P WAJA GEN 2 MZ 323 B6 89-",00303,18,2
00304,"WATER PUMP NS CD20",00304,52,0
00305,"CLUTCH COVER 224*150*264 TY RX30/60/70/80 2/3L",00305,37.5,2
A-1818,"SAKURA AIR FILTER - N/S(16546-74500), B13, B14",A-1818,4.2429,5
00308,"BATTERY CONDEM NS40L",00308,0,0
00309,"BATTERY CONDEM NS40LMF",00309,0,0
00310,"BATTERY CONDEM DIN56618(DIN66L)",00310,0,0
NS60MF-B,"MAS BATTERY NS60MF-B",NS60MF-B,63,3
NS60MF-S,"MAS BATTERY NS60MF-S",NS60MF-S,63,3
00313,"OIL SEAL KIT NS PF30",00313,6,9
00314,"OIL SEAK KIT NS C32",00314,20,1
00315,"OIL SEAL KIT NS Y30",00315,4,2
00316,"OIL SEAL KIT NS",00316,30,2
00317,"OIL SEAL KIT NS U11",00317,6,2
00318,"OIL SEAL KIT NS PF30",00318,15,2
00319,"SEAL KIT NS T11",00319,20,3
00320,"VALVE SOLENOID NS L16,L18",00320,23,2
00321,"GASKET NS A12",00321,2.8,2
00322,"SEAL KIT NS PF30",00322,16,3
00323,"CRANKSHAFT RR OIL SEAL 91X111X9",00323,5,3
00324,"CRANKSHAFT RR OIL SEAL 91X111X9",00324,5,3
85X105X10," OIL SEAL -  85X105X10 ",85X105X10,4.4,0
00326,"CRANKSHAFT RR OIL SEAL 90X110X9",00326,4.434,2
00327,"CRANKSHAFT RR OIL SEAL 89X105X10",00327,6,8
00328,"CRANKSHAFT RR OIL SEAL 72X96X9",00328,4.22,3
00329,"CRANKSHAFT RR OIL SEAL 76X94X8.5",00329,4.2,4
00330,"CRANKSHAFT RR OIL SEAL 73X90X8",00330,2.8,5
00331,"CRANKSHAFT RR OIL SEAL(74X98X12)",00331,0,0
00332,"CRANKSHAFT RR OIL SEAL 68X84X8.5",00332,6.5,5
00333,"CRANKSHAFT RR OIL SEAL 68X88X10",00333,2.5,8
00334,"CRANKSHAFT RR OIL SEAL 68X88X8",00334,4,4
00335,"WHL HUB OIL SEAL 70X112X14X20",00335,3,7
68X86X8,"NOK - CRANKSHAFT RR OIL SEAL 68X86X8",68X86X8,3.2,2
00337,"FUEL HOSE 11.1MM",00337,2.76,22
00338,"OIL SEAL 60X80X8",00338,2.5,6
00339,"F/ W OIL SEAL 65X79X7",00339,6,11
00340,"OIL SEAL 54X76X8X11",00340,2,3
00341,"OIL SEAL(52X66X7.5X12)",00341,3.2,3
00342,"F/W OUTER OIL SEAL (45X72.2X7.5)",00342,1.5,3
00343,"OIL SEAL TRAN TRANFER GEAR 45X68.2X8.5",00343,0,0
00344,"OIL SEAL(58X75X8.5X14)",00344,4,5
00345,"VALVE SOLONEID NS C32",00345,27,2
00346,"VALVE SOLONEID NS C32",00346,34,2
00347,"OIL GAUGE PRESSURE NS MR30",00347,31,1
00348,"OIL SEAL(58X74X10)",00348,3.2,2
57X75X7.5X11,"OIL SEAL - 57X75X7.5X11",57X75X7.5X11,4.5,12
00350,"F/W OIL SEAL(56X72X7.5X11.5)",00350,3,5
00351,"F/W OIL SEAL(56X72X12.5)",00351,1.9,9
00352,"F/W OIL SEAL(56X72X12.5)",00352,1.9,9
00353,"F/W GREASE OIL SEAL(56X72X8X11)",00353,3,5
00354,"F/W OIL SEAL 54X82X8X11",00354,6,11
00355,"F/W OIL SEAL 55X101X4.7",00355,3.2,1
00356,"F/W DUST OIL SEAL(56X72X10)",00356,3.5,13
00357,"OIL SEAL 56*71*7/11",00357,1.2,1
00358,"F/W OIL SEAL 56X73X8X12.5",00358,2.45,0
00359,"OIL SEAL 50X67X9",00359,1.5,5
00360,"CRANKSHAFT OIL SEAL 50X68X9",00360,2.5,18
00361,"OIL SEAL(50X68X9/14)",00361,3,2
00362,"OIL SEAL 51*63*7.5/10",00362,1.2,1
00363,"OIL SEAL 51*66*7.5/10",00363,1.2,8
00365,"CRANKSHAFT RR OIL SEAL 80X96X9",00365,3.5,5
00366,"CRANKSHAFT RR OIL SEAL(86X103X10)",00366,5,3
00367,"CRANKSHAFT RR OIL SEAL 80X100X12",00367,3.6286,14
83X100X9 (BH2845E),"NOK - OIL SEAL 83X100X9",83X100X9 (BH2845E),3.7,12
00369,"CRANKSHAFT RR OIL SEAL(80X100X10)",00369,0,0
00370,"OIL SEAL NS Y61, ZD30",00370,20.1,2
00371,"F/W OUTER OIL SEAL(49X72.2X6X8)",00371,2.5,7
00372,"WHL BRG FRT(38X63X13.5X17.5) F FESTIVA",00372,7.9333,0
00373,"CRANKSHAFT OIL SEAL 45X63X7.5",00373,2.5,3
00374,"CLUTCH LINING DHS PICKUP",00374,75,0
00375,"TIMING BRG TY LJ80, TY BUS",00375,38,0
00376,"REAR WHEEL OIL SEAL 43*54*7.5",00376,1.8,1
00377,"OIL SEAL 39*57*15.5*21.5  NS BLUEBIRD U11",00377,4.8,10
00378,"P/STRG SEAL KIT NS C22, Y30",00378,5,1
00379,"SOLONEID VALVE ASSY MZ 626",00379,20,1
00380,"VALVE FUEL MAGNET HD CIVIC GL",00380,20,2
00381,"THERMO SWITCH TY RX60 AT151",00381,21,2
00382,"M.OIL SWITCH M/BENZ",00382,8,8
00383,"TF RR OUT PUT SHAFT OIL SEAL 39.6*52*10/11 MIT PAJERO",00383,2,24
00384,"OIL SEAL 39*68*9*15.5  MIT PAJERO",00384,2,7
00385,"C M PUMP MZ 2",00385,179.3,0
00387,"OIL SEAL 41*59*10*15",00387,3.5,9
00388,"R/W OIL SEAL 42.8*55*11 T/F",00388,5.2167,6
00389,"REAR WHEEL OIL SEAL MZ F6-F8",00389,1.8,3
00390,"VALVE FUEL MAGNET HD",00390,15,2
00391,"OIL SEAL 36*65*12 METAL PINIO MIT CU2W,4G63",00391,6.15,2
00392,"FRT AXLE OIL SEAL 35*62*10/16.5  SJ 410,ESCUDO",00392,3.5,22
00393,"TRANS OIL SEAL 35*68*9*12.5 HD CIVIC,ACCORD",00393,4.15,5
00394,"CRANKSHAFT OIL SEAL 35.5*50.5*7 MZ",00394,2.9,2
00395,"DRIVE PINION 35*64*13  NS",00395,1.5,3
00396,"DRIVESHAFT OIL SEAL 35*68*9*15.5 DHS G10",00396,3,4
00397,"CRANKSHAFT OIL SEAL 36*49*7 NS E13,E15",00397,7.5,1
00398,"CRANKSHAFT OIL SEAL 36*49*7 NS E13,E15",00398,7.5,1
00399,"OIL SEAL ( 35X55X9X15.5 )",00399,0,0
00400,"DRIVESHAFT OIL SEAL 35X56X9X12.5",00400,3.1317,5
00401,"RR WHEEL OIL SEAL 35*58*10 INNER MIT L200",00401,1.4,3
00402,"RR WHEEL OIL SEAL 35*55*11N NS Y60,Y30",00402,1.5,10
35X55X11,"OIL SEAL - 35*55*11",35X55X11,1.5,10
00404,"DRIVE PINION OIL SEAL 35*55*11T TY AL25,KE70,KF60",00404,1.5,6
TO-904A,"CV.JOINT 26*27*63.4 TY LEXUS RX300, CAMRY",TO-904A,35,2
00406,"CLUTCH CASE OIL SEAL 35*62*8*12.5 HD ACCORD,PRELUDE",00406,2.5,1
00407,"CRANKSHAFT FRT OIL SEAL 35*49*6 TY 2E,EE90,AE80",00407,0,0
00408,"CRANKSHAFT OIL SEAL 35*54*8 HD ACCORD",00408,2.8,15
00409,"CRANKSHAFT OIL SEAL 35*54*8 HD ACCORD",00409,2.8,15
00410,"CRANKSHAFT OIL SEAL 35*54*8 HD ACCORD",00410,2.8,15
00411,"TRANSMISSION OIL SEAL 35*54*10*17.5 MIT",00411,2,5
00412,"DRIVESHAFT FRT OIL SEAL 35*50*9.5 TY FJ180,HDJ80",00412,1.5,4
00413,"DRIVESHAFT FRT OIL SEAL 35*50*9.5 TY FJ180,HDJ80",00413,1.5,4
00414,"OIL SEAL DRIVESHAFT LH 35*54*7",00414,15.7,2
00415,"OIL SEAL  35*55*8 ATM",00415,4,0
00416,"CRANKSHAFT 38*55*9 NS A12",00416,17,2
00418,"OIL SEAL 38*50*6 TY TOWN ACE, 2C,3C",00418,1.3,5
00419,"OIL SEAL 38*50*6 TY TOWN ACE, 2C,3C",00419,1.3,5
00420,"OIL SEAL 38*50*6 TY TOWN ACE, 2C,3C",00420,1.3,5
00421,"OIL SEAL 38*50*6 TY TOWN ACE, 2C,3C",00421,1.3,5
00422,"CAMSHAFT OIL SEAL 38*52*7 HD SM4",00422,1.4,4
00423,"CAMSHAFT OIL SEAL 38*52*7 HD SM4",00423,1.4,4
00424,"CAMSHAFT OIL SEAL 38*52*9.2 DHS T/CAM",00424,3,10
00425,"CAMSHAFT OIL SEAL 38*50*8  TY ST171,ST191",00425,1.7792,0
00426,"CAMSHAFT OIL SEAL 38*52*6 DHS YRV",00426,1.4,7
00427,"CAMSHAFT OIL SEAL 38*52*6 DHS YRV",00427,1.4,7
00428,"CAMSHAFT OIL SEAL 38*52*6 DHS YRV",00428,1.4,7
00429,"DRIVESHAFT OIL SEAL 37*56*9*12.5 MIT VERADA",00429,5.7,0
00430,"CRANKSHAFT OIL SEAL 37.6*49*7.5 HY,KIA",00430,0,0
00431,"REAR WHEEL OIL SEAL 36*62*14  MIT PAJERO",00431,1.5837,42
00432,"CRANKSHAFT FRT OIL SEAL 37*50*6 MIT 4G93",00432,1.9,5
00433,"TRANS RR OIL SEAL 36*50*7M  DHS FEROZA",00433,1.5,7
00434,"TRANS RR OIL SEAL 36*50*7M  DHS FEROZA",00434,1.5,7
36X50X8,"CORTECO - OIL SEAL 36*50*8 ",36X50X8,0,0
00436,"TRANS RR OIL SEAL 36*52*10  MIT A163A",00436,1.9,0
00437,"VALVE FUEL MAGNET HD",00437,16,2
00438,"SOLONEID VALVE NS C32",00438,34,2
00439,"GASKET NS VG30S",00439,16,2
00440,"SEAL KIT HOUSING NS U12",00440,4,2
