stock num,brand,category,description,date,final balance,cost price,selling price
00072,NISSAN,ENGINE MTG,ENG MTG NS U14 P11 W/BRACKET,2018-02-01 23:59:59,0,$0.00,$0.00
00073,SINGYUNG,WCYL PUMP,WHL CYL PUMP HD CIVIC 79-RR LH,2018-02-01 23:59:59,0,$0.00,$0.00
00074,JAPAN,STRG GROMMET,STRG GROMMET RH TY KE70,2018-02-01 23:59:59,0,$0.00,$0.00
00075,STONE,FULL SET GASKET,FULL SET GSKT NS CA18S,2018-02-01 23:59:59,0,$0.00,$0.00
00076,NISSAN,STRG GROMMET,STRG GROMMET NS Y32,2018-02-01 23:59:59,0,$0.00,$0.00
KO-3PK-810,KOBEI,BELTING,KOBEI BELTING JAPAN 3PK 810,2018-02-01 23:59:59,3,$2.93,$8.79
00078,JAPAN,LOWER ARM,LWR ARM BUSH MIT CB1 P/WIRA SMALL,2018-02-01 23:59:59,0,$0.00,$0.00
00079,FUJI,EXHAUST VALVE,EXHAUST VALVE TY 2A,2018-02-01 23:59:59,0,$0.00,$0.00
00080,TOYOTA,ABSORBER,ABSORBER FRT TY EP70,2018-02-01 23:59:59,0,$0.00,$0.00
00081,RIK,PISTON RING,PISTON RING MZ F8 86MM,2018-02-01 23:59:59,0,$0.00,$0.00
00082,NISSAN,B/CALIPER KIT,B CALIPER KIT NS S13 A31 35MM,2018-02-01 23:59:59,0,$0.00,$0.00
00083,FUJI,HEAD GASKET,HEAD GASKET MIT 4D56 METAL,2018-02-01 23:59:59,0,$0.00,$0.00
00084,FUJI,ALTERNATOR CARBON BR,ALT CARBON BRUSH,2018-02-01 23:59:59,0,$0.00,$0.00
00085,JAPAN,ARM BUSH,LWR ARM BUSH RR NS,2018-02-01 23:59:59,0,$0.00,$0.00
00086,898,WATER PLUG,WATER PLUG / STOPPER,2018-02-01 23:59:59,0,$0.00,$0.00
00087,SEIKEN,BRAKE M/P KIT,B M PUMP KIT SZ SA413,2018-02-01 23:59:59,0,$0.00,$0.00
00088,MITSUBISHI,ARM BUSH,LWR ARM BUSH MIT MAGNA 94-W BRACKET,2018-02-01 23:59:59,0,$0.00,$0.00
00089,5825,STRG BOOT,STRG BOOT TY KE70 33M,2018-02-01 23:59:59,0,$0.00,$0.00
00090,POP,STRG GROMMET,STRG RACK BUSH TY ST190,2018-02-01 23:59:59,0,$0.00,$0.00
00092,ALLOYD,BRAKE PAD,BRAKE PAD FRT MZ 3 04-,2018-02-01 23:59:59,0,$0.00,$0.00
00093,JAPAN,ARM BUSH,LWR ARM BUSH MZ MR90,2018-02-01 23:59:59,0,$0.00,$0.00
00094,ASUKI,CLUTCH LINING,CLUTCH LINING 250X160X24T ISZ UBS,2018-02-01 23:59:59,0,$0.00,$0.00
00095,SBK,AC CABLE,ACC CABLE TY AE80,2018-02-01 23:59:59,0,$0.00,$0.00
00096,DAEWHA,FUEL PUMP ELECTRIC,FUEL PUMP MZ 929,2018-02-01 23:59:59,0,$0.00,$0.00
00097,KYOSAN,ASSY PUMP,AC PUMP TY 21R,2018-02-01 23:59:59,0,$0.00,$0.00
00098,EXEDY,CLUTCH LINING,CLUTCH LINING 219X155X24TX26MM HD B16A,2018-02-01 23:59:59,0,$0.00,$0.00
00099,NISSAN,STRG BOOT,STAB BUSH FRT NS U12 24MM,2018-02-01 23:59:59,0,$0.00,$0.00
00100,FERODO,BRAKE PAD,BRAKE PAD RR F MONDEO 01-,2018-02-01 23:59:59,0,$0.00,$0.00
00101,NISSAN,B/CONTROL,BRAKE CONTROL VALVE,2018-02-01 23:59:59,0,$0.00,$0.00
00102,TOYOTA,STAB BUSH,STAB BUSH FRT TY SOLUNA AL50,2018-02-01 23:59:59,0,$0.00,$0.00
00103,TWN,O-RING,O RING (RED BOX) UNIVERSAL,2018-02-01 23:59:59,0,$0.00,$0.00
00104,SUZUKI,B/CONTROL,BRAKE CONTROL VALVE SZ SWIFT,2018-02-01 23:59:59,0,$0.00,$0.00
00105,AKEBONO,BRAKE PAD,BRAKE PAD FRT MZ 323,2018-02-01 23:59:59,0,$0.00,$0.00
00106,MAZDA,ARM BUSH,LWR ARM BUSH MZ 323 96-W BRACKET,2018-02-01 23:59:59,0,$0.00,$0.00
F103001,FUJI,ABSORBER,ABSORBER FRT TY HIACE LH113,2018-02-01 23:59:59,0,$0.00,$0.00
00108,FCC,ALTERNATOR CARBON BR,ALTERNATOR CARBON BRUSH UNIVERSAL,2018-02-01 23:59:59,0,$0.00,$0.00
00109,NKN,CV JOINT,C V JOINT OUT 25X50X25 HY SONATA 00- ATM,2018-02-01 23:59:59,0,$0.00,$0.00
00110,MIYOTO,BY PASS PIPE,BY PASS PIPE TY AE100 3PIPE,2018-02-01 23:59:59,0,$0.00,$0.00
00111,THAILAND,ARM BUSH,LWR ARM BUSH RR HD SH4 S04 BIG,2018-02-01 23:59:59,0,$0.00,$0.00
00112,TAIWAN,BYPASS HOSE,BY PASS HOSE HD ACC 89- 16MM,2018-02-01 23:59:59,0,$0.00,$0.00
00113,JAPAN,STAB BUSH,STAB BUSH FRT MIT GALANT 16V L300 20MM,2018-02-01 23:59:59,0,$0.00,$0.00
00114,FUJI,STARTER CARBON BRUSH,STARTER CARBON BRUSH F70 (DL),2018-02-01 23:59:59,0,$0.00,$0.00
00115,GSP,CV JOINT,C V JOINT OUT 23X48X19 NS MARCH K11,2018-02-01 23:59:59,0,$0.00,$0.00
00116,PC,,,2018-02-01 23:59:59,0,$0.00,$0.00
00117,PC,,PLUG CABLE,2018-02-01 23:59:59,0,$0.00,$0.00
00118,PC,,PLUG CABLE,2018-02-01 23:59:59,0,$0.00,$0.00
00119,PC,,,2018-02-01 23:59:59,0,$0.00,$0.00
00120,TAIWAN,ENGINE MTG,ENG MTG MZ 323 99-,2018-02-01 23:59:59,0,$0.00,$0.00
00121,AKEBONO,BRAKE PAD,BRAKE PAD FRT SB,2018-02-01 23:59:59,0,$0.00,$0.00
00122,KIA,ABSORBER,ABSORBER FRT KIA CAREN 00- DSL,2018-02-01 23:59:59,0,$0.00,$0.00
00123,NISSHINBO,BRAKE PAD,BRAKE PAD RR SB LEGACY,2018-02-01 23:59:59,0,$0.00,$0.00
00124,KIA,ABSORBER,ABSORBER FRT KIA CAREN 00- DSL,2018-02-01 23:59:59,0,$0.00,$0.00
00125,ASUKI,,WHL CYL PUMP MIT C11A RR 3/4\"WCYL PUMP",2018-02-01 23:59:59,0,$0.00,$0.00
00126,ASUKI,BRAKE SHOE,BRAKE SHOE RR TY ST196,2018-02-01 23:59:59,0,$0.00,$0.00
00127,ASUKI,BRAKE SHOE,HBRAKE SHOE RR DHS ROCKY,2018-02-01 23:59:59,0,$0.00,$0.00
00128,ASUKI,BRAKE SHOE,BRAKE SHOE RR MZ PREMACY,2018-02-01 23:59:59,0,$0.00,$0.00
00129,ASUKI,WCYL PUMP,WHL CYL PUMP DHS EXTOL RR,2018-02-01 23:59:59,0,$0.00,$0.00
00130,ASUKI,BRAKE SHOE,BRAKE SHOE RR HY ACCENT,2018-02-01 23:59:59,0,$0.00,$0.00
00131,INZI,THERMOSTAT HOUSING,THERMOSTAT DW RACER GTI NEXIA KALOS,2018-02-01 23:59:59,0,$0.00,$0.00
00132,HYUNDAI,THERMOSTAT,THERMOSTAT KIA PREGIO,2018-02-01 23:59:59,0,$0.00,$0.00
00133,ASUKI,BRAKE SHOE,BRAKE SHOE RR DHS MIRA KANCIL,2018-02-01 23:59:59,0,$0.00,$0.00
00134,TERADA,ARM BUSH,UP ARM BUSH TY MS12# 18MM,2018-02-01 23:59:59,0,$0.00,$0.00
00135,MK,BRAKE SHOE,BRAKE SHOE RR TY AE/EE80,2018-02-01 23:59:59,0,$0.00,$0.00
00136,ASUKI,BRAKE SHOE,BRAKE SHOE RR TY LN40/65 RN30,2018-02-01 23:59:59,0,$0.00,$0.00
00137,ASUKI,BRAKE PAD,BRAKE PAD RR MIT E33 SIGMA,2018-02-01 23:59:59,0,$0.00,$0.00
